protein,mll_full,mll_joint,lr
P33643-(RLUD)_sample_1,3.3779731901850054,2.302606983263284,2.1507324138434427
P33643-(RLUD)_sample_2,3.426808294669756,2.316280000665411,2.2210565880086897
P33643-(RLUD)_sample_3,3.368139839844093,2.157792133870354,2.420695411947478
P33643-(RLUD)_sample_4,2.63686313518167,2.052916737481468,1.1678927954004035
P33643-(RLUD)_sample_5,3.2207242721940172,2.2662582880750963,1.9089319682378418
P33643-(RLUD)_sample_6,3.07389158416189,2.204640802468438,1.7385015633869045
P33643-(RLUD)_sample_7,2.88082298836263,2.0875646556546226,1.5865166654160152
P33643-(RLUD)_sample_8,3.2737572686632275,2.337331488532273,1.8728515602619087
P33643-(RLUD)_sample_9,3.1103198798893272,2.1866936154953627,1.8472525287879291
P33643-(RLUD)_sample_10,2.929160849966432,2.1746691947994123,1.508983310334039
P33644-(YFIH)_sample_1,2.595411551349428,1.6876641882698422,1.8154947261591712
P33644-(YFIH)_sample_2,2.3508900664411967,1.5607407005721792,1.580298731738035
P33644-(YFIH)_sample_3,2.836493034176164,1.781035623722128,2.110914820908072
P33644-(YFIH)_sample_4,2.6199205998544888,1.7577075284233392,1.7244261428622991
P33644-(YFIH)_sample_5,2.372310780792279,1.5271339998457785,1.690353561893001
P33644-(YFIH)_sample_6,2.559643273328554,1.6511519757022441,1.8169825952526195
P33644-(YFIH)_sample_7,2.0992380227598417,1.4420289665056671,1.3144181125083492
P33644-(YFIH)_sample_8,2.573072306790851,1.656140159358271,1.8338642948651604
P33644-(YFIH)_sample_9,2.349962031917988,1.5603185899709218,1.5792868838941323
P33644-(YFIH)_sample_10,2.5438405537783693,1.6250788002069398,1.8375235071428588
P33941-(YOJI)_sample_1,3.4257480158377347,2.34788967043425,2.15571669080697
P33941-(YOJI)_sample_2,3.085256937068549,2.1499948432815015,1.8705241875740954
P33941-(YOJI)_sample_3,3.480070072389664,2.289786313259751,2.3805675182598263
P33941-(YOJI)_sample_4,3.5872244778302598,2.4126106485483887,2.349227658563742
P33941-(YOJI)_sample_5,3.593462989317742,2.3431678134595946,2.500590351716295
P33941-(YOJI)_sample_6,3.191381068314853,2.1917236235641715,1.9993148895013633
P33941-(YOJI)_sample_7,3.3457027960651096,2.265198060275937,2.161009471578345
P33941-(YOJI)_sample_8,3.4634103035651114,2.192645410844898,2.541529785440427
P33941-(YOJI)_sample_9,3.2849541548639385,2.1941863289294843,2.1815356518689084
P33941-(YOJI)_sample_10,3.1010157597527974,2.117426751633203,1.9671780162391892
P36655-(DSBD)_sample_1,2.7499473567468713,1.98121643560923,1.5374618422752824
P36655-(DSBD)_sample_2,3.008116695449064,1.9960133817248111,2.0242066274485055
P36655-(DSBD)_sample_3,3.1693385737685333,2.202998018201717,1.9326811111336326
P36655-(DSBD)_sample_4,2.9008604476578266,2.0635310071375605,1.674658881040532
P36655-(DSBD)_sample_5,3.0144645756695128,2.0731264901891557,1.882676170960714
P36655-(DSBD)_sample_6,3.394797823281151,2.22404337623431,2.341508894093682
P36655-(DSBD)_sample_7,2.91867140931969,2.060144316674403,1.717054185290574
P36655-(DSBD)_sample_8,2.9342819278604564,2.0763662512085754,1.715831353303762
P36655-(DSBD)_sample_9,2.8020147709268484,2.023095658929924,1.5578382239938486
P36655-(DSBD)_sample_10,2.8778443592111937,2.1237910922419156,1.5081065339385562
P36771-(LRHA)_sample_1,2.8814281061460325,1.9311315149768906,1.9005931823382838
P36771-(LRHA)_sample_2,2.1918934385258106,1.5967602280287494,1.1902664209941225
P36771-(LRHA)_sample_3,2.6947870529396383,1.7580821879500008,1.873409729979275
P36771-(LRHA)_sample_4,2.2189627419338955,1.592534671127524,1.2528561416127433
P36771-(LRHA)_sample_5,2.5085589539936124,1.713227642043025,1.5906626239011747
P36771-(LRHA)_sample_6,2.841204337303763,1.8602112795696428,1.9619861154682403
P36771-(LRHA)_sample_7,2.4573097188148485,1.6900183576709698,1.5345827222877575
P36771-(LRHA)_sample_8,2.32432606013886,1.5981245379755005,1.4524030443267186
P36771-(LRHA)_sample_9,2.680939639683565,1.8226024732903938,1.7166743327863427
P36771-(LRHA)_sample_10,2.638047788993414,1.734049617870299,1.8079963422462297
P37147-(FXSA)_sample_1,1.3987131485222135,1.0233660393973603,0.7506942182497065
P37147-(FXSA)_sample_2,1.615122829948377,1.0868066240760035,1.0566324117447472
P37147-(FXSA)_sample_3,1.4534740534076664,0.9954877291003625,0.9159726486146078
P37147-(FXSA)_sample_4,1.881389051147909,1.2485951645450541,1.2655877732057097
P37147-(FXSA)_sample_5,1.8118617331851663,1.2627097204815527,1.0983040254072272
P37147-(FXSA)_sample_6,2.1410709081049157,1.3405412162826573,1.6010593836445168
P37147-(FXSA)_sample_7,1.9185460304880597,1.2519426881874105,1.3332066846012984
P37147-(FXSA)_sample_8,1.5739538250915008,1.1102387227878134,0.9274302046073748
P37147-(FXSA)_sample_9,1.7662009844929636,1.220934645531026,1.0905326779238753
P37147-(FXSA)_sample_10,1.8873945796213065,1.151762958250195,1.4712632427422232
