protein,lysate,lysate_MgCl2,joint
P09053-(AVTA)_sample_1,1.2731566170528708,1.3079513809892078,1.8319679497306856
P09053-(AVTA)_sample_10,1.2248072976441904,1.460764411265404,1.929362440445945
P09053-(AVTA)_sample_2,1.1821700392566963,1.2305551494951166,1.7852154277340755
P09053-(AVTA)_sample_3,1.3676241648444878,1.1426109761401018,1.910697271105828
P09053-(AVTA)_sample_4,1.2362677986359558,1.2220856639093143,1.8991574997335732
P09053-(AVTA)_sample_5,1.5276835116544476,1.5162562144397882,2.0271919621952317
P09053-(AVTA)_sample_6,1.388671167454326,1.378448126192534,1.9905458934375928
P09053-(AVTA)_sample_7,1.115523931993422,1.2139996758063376,1.798680251601867
P09053-(AVTA)_sample_8,1.2619700308008277,1.5950930551781197,2.0148597763231018
P09053-(AVTA)_sample_9,1.3794896568015895,1.3812861036857556,1.9652482556384698
P09323-(NAGE)_sample_1,1.207325849120167,1.0394586453441774,1.636854069468032
P09323-(NAGE)_sample_10,1.0411922900199875,0.9806358425323974,1.6289288159480435
P09323-(NAGE)_sample_2,1.1633547870283147,1.2219196876789307,1.7732700716807301
P09323-(NAGE)_sample_3,1.0419159841303387,0.8802067699953106,1.577999480975103
P09323-(NAGE)_sample_4,1.3955207840249215,1.4882667033075037,1.9447470465926557
P09323-(NAGE)_sample_5,1.1399957637253755,1.0562279656045215,1.6199153715751227
P09323-(NAGE)_sample_6,1.4108538973786844,1.3134388073172976,1.7801122106745002
P09323-(NAGE)_sample_7,1.11198070057492,1.1502201135509522,1.7317140766125263
P09323-(NAGE)_sample_8,1.2342586544771572,1.3033317897513588,1.6845527250860788
P09323-(NAGE)_sample_9,1.3516271971373266,1.3075502569849575,1.7444920300418039
P0A6B7-(ISCS)_sample_1,1.8417162879405566,1.8445882310461017,2.3385299659229726
P0A6B7-(ISCS)_sample_10,1.458206871014546,1.7139524832512876,2.001240236988977
P0A6B7-(ISCS)_sample_2,1.740808054234173,1.5358050040198596,2.152878805667949
P0A6B7-(ISCS)_sample_3,1.7570044061822556,1.5350893067453697,2.1494975496494444
P0A6B7-(ISCS)_sample_4,1.4648091614991376,1.5416808671552695,2.0182380516920677
P0A6B7-(ISCS)_sample_5,1.6776804445963753,1.602104925065361,2.107331099996296
P0A6B7-(ISCS)_sample_6,1.5715805350914622,1.4679081195763155,2.0413882799815917
P0A6B7-(ISCS)_sample_7,1.4756450002927997,1.5563921577481536,2.0624552328762675
