,condition,uniqueID,y,x
141,lysate,P00370-(GDHA),1.0588187233450583,40.4
142,lysate,P00370-(GDHA),1.0330299750686371,46.9
143,lysate,P00370-(GDHA),0.900941623111552,52.9
144,lysate,P00370-(GDHA),0.7407828339938242,58.6
145,lysate,P00370-(GDHA),0.5445865244354333,62.8
146,lysate,P00370-(GDHA),0.1322977675417053,69.0
147,lysate,P00370-(GDHA),0.1226286661199272,74.8
148,lysate,P00370-(GDHA),0.1149888245050291,80.5
149,lysate,P00370-(GDHA),0.098532863577997,87.0
150,MgCl2,P00370-(GDHA),1.0,37.0
151,MgCl2,P00370-(GDHA),1.101220906905396,40.4
152,MgCl2,P00370-(GDHA),1.0103131192942638,46.9
153,MgCl2,P00370-(GDHA),0.9317164301079296,52.9
154,MgCl2,P00370-(GDHA),0.688624891341753,58.6
155,MgCl2,P00370-(GDHA),0.2362762044199342,62.8
156,MgCl2,P00370-(GDHA),0.0680594571051659,69.0
157,MgCl2,P00370-(GDHA),0.080256434391783,74.8
158,MgCl2,P00370-(GDHA),0.0729809152419005,80.5
159,MgCl2,P00370-(GDHA),0.0740683406281623,87.0
160,MgCl2,P00370-(GDHA),1.0,37.0
161,MgCl2,P00370-(GDHA),1.094854045144967,40.4
162,MgCl2,P00370-(GDHA),0.9950380549789636,46.9
163,MgCl2,P00370-(GDHA),0.8767575474427644,52.9
164,MgCl2,P00370-(GDHA),0.6375588663678782,58.6
165,MgCl2,P00370-(GDHA),0.2349762264017563,62.8
166,MgCl2,P00370-(GDHA),0.0440784775587328,69.0
167,MgCl2,P00370-(GDHA),0.0487946504232714,74.8
168,MgCl2,P00370-(GDHA),0.0416568652210929,80.5
169,MgCl2,P00370-(GDHA),0.0398133443899037,87.0
170,MgCl2,P00370-(GDHA),1.0,37.0
171,MgCl2,P00370-(GDHA),1.094341773761042,40.4
172,MgCl2,P00370-(GDHA),1.0383246486571287,46.9
173,MgCl2,P00370-(GDHA),0.8648354302123908,52.9
174,MgCl2,P00370-(GDHA),0.6240779756166462,58.6
175,MgCl2,P00370-(GDHA),0.265626833687508,62.8
176,MgCl2,P00370-(GDHA),0.0759611128812646,69.0
177,MgCl2,P00370-(GDHA),0.0683926184653269,74.8
178,MgCl2,P00370-(GDHA),0.062764269524311,80.5
179,MgCl2,P00370-(GDHA),0.0640434324811873,87.0
180,lysate,P00393-(NDH),1.0,37.0
181,lysate,P00393-(NDH),1.0624587168770512,40.4
182,lysate,P00393-(NDH),1.033980178441252,46.9
183,lysate,P00393-(NDH),0.8677360640995901,52.9
184,lysate,P00393-(NDH),0.2996905382547442,58.6
185,lysate,P00393-(NDH),0.1497862746780065,62.8
186,lysate,P00393-(NDH),0.0559478138115732,69.0
187,lysate,P00393-(NDH),0.0463292080179778,74.8
188,lysate,P00393-(NDH),0.0350161882577779,80.5
189,lysate,P00393-(NDH),0.033406725841365,87.0
190,lysate,P00393-(NDH),1.0,37.0
191,lysate,P00393-(NDH),1.0630889337724645,40.4
192,lysate,P00393-(NDH),1.0625745026217388,46.9
193,lysate,P00393-(NDH),0.8841984553768759,52.9
194,lysate,P00393-(NDH),0.302314516689734,58.6
195,lysate,P00393-(NDH),0.1373784482407471,62.8
196,lysate,P00393-(NDH),0.0495945476150142,69.0
197,lysate,P00393-(NDH),0.039808649751698,74.8
198,lysate,P00393-(NDH),0.0316465875256539,80.5
199,lysate,P00393-(NDH),0.0265231440689456,87.0
200,lysate,P00393-(NDH),1.0,37.0
201,lysate,P00393-(NDH),1.0886895127333094,40.4
202,lysate,P00393-(NDH),1.05710801126146,46.9
203,lysate,P00393-(NDH),0.8773896337062821,52.9
204,lysate,P00393-(NDH),0.3001440316072593,58.6
205,lysate,P00393-(NDH),0.1461682218905146,62.8
206,lysate,P00393-(NDH),0.0477219698680878,69.0
207,lysate,P00393-(NDH),0.0390631081818973,74.8
208,lysate,P00393-(NDH),0.0312807236548586,80.5
209,lysate,P00393-(NDH),0.0259473950459239,87.0
210,MgCl2,P00393-(NDH),1.0,37.0
211,MgCl2,P00393-(NDH),1.0714070249251564,40.4
212,MgCl2,P00393-(NDH),1.035256550403206,46.9
213,MgCl2,P00393-(NDH),0.7728033843523108,52.9
214,MgCl2,P00393-(NDH),0.3398643478772283,58.6
215,MgCl2,P00393-(NDH),0.1437541078134012,62.8
216,MgCl2,P00393-(NDH),0.034436640296381,69.0
217,MgCl2,P00393-(NDH),0.0343979327972528,74.8
218,MgCl2,P00393-(NDH),0.0268101323601104,80.5
219,MgCl2,P00393-(NDH),0.0252752444558911,87.0
220,MgCl2,P00393-(NDH),1.0,37.0
221,MgCl2,P00393-(NDH),1.0823135598065363,40.4
222,MgCl2,P00393-(NDH),1.0566115492713737,46.9
223,MgCl2,P00393-(NDH),0.766159113526633,52.9
224,MgCl2,P00393-(NDH),0.3255198783064677,58.6
225,MgCl2,P00393-(NDH),0.1486131490255074,62.8
226,MgCl2,P00393-(NDH),0.0439940955969331,69.0
227,MgCl2,P00393-(NDH),0.0389566831696966,74.8
228,MgCl2,P00393-(NDH),0.0302340071534275,80.5
229,MgCl2,P00393-(NDH),0.0253775289943551,87.0
230,MgCl2,P00393-(NDH),1.0,37.0
231,MgCl2,P00393-(NDH),1.1125282354318051,40.4
232,MgCl2,P00393-(NDH),1.0767142684746702,46.9
233,MgCl2,P00393-(NDH),0.7791429521784087,52.9
234,MgCl2,P00393-(NDH),0.2974986015116723,58.6
235,MgCl2,P00393-(NDH),0.1324408327412216,62.8
236,MgCl2,P00393-(NDH),0.0347047205788237,69.0
237,MgCl2,P00393-(NDH),0.0315686707199906,74.8
238,MgCl2,P00393-(NDH),0.0267073878650337,80.5
239,MgCl2,P00393-(NDH),0.0242113137004814,87.0
240,lysate,P00448-(SODA),1.0,37.0
241,lysate,P00448-(SODA),1.0614945571525236,40.4
242,lysate,P00448-(SODA),1.0664693321191396,46.9
243,lysate,P00448-(SODA),1.097738404231278,52.9
244,lysate,P00448-(SODA),1.0933607950267816,58.6
245,lysate,P00448-(SODA),1.1127897329833871,62.8
