condition,uniqueID,y,x
vehicle,ACADM_IPI00513827,0.0654569901977344,58
vehicle,ACADM_IPI00513827,0.0498337507256901,61
vehicle,ACADM_IPI00513827,0.0561823529521481,64
vehicle,ACADM_IPI00513827,0.0422467354883258,67
staurosporine,ACSL1_IPI00012728,0.999686866317176,40
staurosporine,ACSL1_IPI00012728,0.81629434709819,43
staurosporine,ACSL1_IPI00012728,0.564688926288661,46
staurosporine,ACSL1_IPI00012728,0.408807626851889,49
staurosporine,ACSL1_IPI00012728,0.251794097267518,52
staurosporine,ACSL1_IPI00012728,0.138367944214634,55
staurosporine,ACSL1_IPI00012728,0.100959374546081,58
staurosporine,ACSL1_IPI00012728,0.0861614852666686,61
staurosporine,ACSL1_IPI00012728,0.0683929308935147,64
staurosporine,ACSL1_IPI00012728,0.0604213007547878,67
staurosporine,ACSL1_IPI00012728,0.999686866317176,40
staurosporine,ACSL1_IPI00012728,0.863223713801668,43
staurosporine,ACSL1_IPI00012728,0.610733031938822,46
staurosporine,ACSL1_IPI00012728,0.368164876737129,49
staurosporine,ACSL1_IPI00012728,0.275090965384743,52
staurosporine,ACSL1_IPI00012728,0.119473681822755,55
staurosporine,ACSL1_IPI00012728,0.0720750758133237,58
staurosporine,ACSL1_IPI00012728,0.0597132175078575,61
staurosporine,ACSL1_IPI00012728,0.0505260268810323,64
staurosporine,ACSL1_IPI00012728,0.0476994003673656,67
vehicle,ACSL1_IPI00012728,0.999686866317176,40
vehicle,ACSL1_IPI00012728,0.882608937847661,43
vehicle,ACSL1_IPI00012728,0.466950059722612,46
vehicle,ACSL1_IPI00012728,0.363884587200171,49
vehicle,ACSL1_IPI00012728,0.225791045168539,52
vehicle,ACSL1_IPI00012728,0.100943341812649,55
vehicle,ACSL1_IPI00012728,0.0754785371454169,58
vehicle,ACSL1_IPI00012728,0.0470662630320927,61
vehicle,ACSL1_IPI00012728,0.0532895968630479,64
vehicle,ACSL1_IPI00012728,0.0511639047513076,67
vehicle,ACSL1_IPI00012728,0.999686866317176,40
vehicle,ACSL1_IPI00012728,1.16371874096133,43
vehicle,ACSL1_IPI00012728,0.643540798962213,46
vehicle,ACSL1_IPI00012728,0.409382748745542,49
vehicle,ACSL1_IPI00012728,0.29766263550082,52
vehicle,ACSL1_IPI00012728,0.115579357219114,55
vehicle,ACSL1_IPI00012728,0.080925851812316,58
vehicle,ACSL1_IPI00012728,0.0741648457764785,61
vehicle,ACSL1_IPI00012728,0.062440565899205,64
vehicle,ACSL1_IPI00012728,0.052649730269543,67
staurosporine,AKAP8_IPI00014474,0.999686866317176,40
